City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
109,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
110,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
111,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
112,Santa Rosa,14.3122,121.1114,84.85,78,77,2.93,PH,broken clouds
113,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
114,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
115,Lolua,46.4333,26.4,49.28,89,5,1.3,RO,light rain
116,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
117,Port Alfred,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
118,Villa Carlos Paz,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
119,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
120,Coquimbo,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
121,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
122,Fare,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
123,Faanui,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
124,Bengkulu,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
125,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
126,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
127,Maragogi,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
128,Bredasdorp,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
129,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
130,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
131,Port Elizabeth,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
132,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
133,Jilib,0.4883,42.7854,73.94,94,73,6.42,SO,broken clouds
134,Luderitz,-26.6481,15.1594,54.75,90,49,13.62,NA,scattered clouds
135,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
136,Gondanglegi,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
137,Atuona,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
138,Molteno,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
139,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
140,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
141,San Cristobal,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
142,Singojuruh,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
143,Georgetown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
144,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
145,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
146,Georgetown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
147,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
148,Puerto Ayora,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
149,Port Elizabeth,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
150,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
151,Faanui,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
152,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
153,Mahebourg,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
154,Broome,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
155,Vao,-22.6667,167.4833,69.85,77,68,23.09,NC,broken clouds
156,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
157,Bredasdorp,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
158,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
159,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
160,Victoria,22.2855,114.1577,87.24,86,3,3.0,HK,clear sky
161,Viedma,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
162,Faanui,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
163,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
164,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
165,Miraflores,19.2167,-98.8083,65.05,92,94,3.0,MX,light rain
166,Kaoma,-16.1167,23.2667,73.06,31,67,3.58,ZM,broken clouds
167,Caravelas,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
168,Port Alfred,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
169,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
170,Busselton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
171,Kirakira,-10.4544,161.9205,82.06,77,72,8.41,SB,broken clouds
172,Yulara,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
173,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
174,Busselton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
175,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
176,Arraial Do Cabo,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
177,New Norfolk,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
178,Coihaique,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
179,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
180,Arraial Do Cabo,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
181,Bambous Virieux,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
182,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
183,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
184,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
185,Diego De Almagro,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
186,Avarua,-21.2078,-159.775,76.05,76,39,10.63,CK,scattered clouds
187,Cuamba,-14.8031,36.5372,76.53,39,34,6.4,MZ,scattered clouds
188,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
189,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
190,Port Elizabeth,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
191,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
192,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
193,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
194,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
195,Avarua,-21.2078,-159.775,76.05,76,39,10.63,CK,scattered clouds
196,Lakatoro,-19.55,169.2667,78.33,72,53,14.03,VU,broken clouds
197,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
198,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
199,Plettenberg Bay,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
200,Chuy,-33.6971,-53.4616,56.43,82,25,12.57,UY,scattered clouds
201,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
202,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
203,Kiunga,-6.1219,141.2906,79.18,90,95,3.62,PG,overcast clouds
204,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
205,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
206,Arraial Do Cabo,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
207,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
208,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
209,Puerto Ayora,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
210,Atuona,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
211,Hermanus,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
212,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
213,East London,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
214,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
215,Grand River South East,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
216,Carnarvon,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
217,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
218,Atuona,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
219,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
220,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
221,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
222,Poum,-22.6667,167.4833,69.85,77,68,23.09,NC,broken clouds
223,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
224,East London,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
225,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
226,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
227,Quatre Cocos,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
228,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
229,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
230,Kaitangata,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
231,Sehithwa,-20.4667,22.7167,76.42,19,34,5.46,BW,scattered clouds
232,Bredasdorp,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
233,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
234,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
235,Belmonte,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
236,Richards Bay,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
237,Rivadavia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
238,Lebu,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
239,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
240,Ahipara,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
241,East London,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
242,Fayaoue,-22.6667,167.4833,69.85,77,68,23.09,NC,broken clouds
243,Bengkulu,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
244,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
245,Padang,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
246,Atuona,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
247,Takoradi,4.8845,-1.7554,75.79,91,68,6.31,GH,broken clouds
248,Luderitz,-26.6481,15.1594,54.75,90,49,13.62,NA,scattered clouds
249,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
250,Port Alfred,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
251,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
252,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
253,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
254,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
255,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
256,Hambantota,6.1241,81.1185,79.77,77,99,8.55,LK,overcast clouds
257,Esperance,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
258,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
259,Avarua,-21.2078,-159.775,76.05,76,39,10.63,CK,scattered clouds
260,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
261,Chuy,-33.6971,-53.4616,56.43,82,25,12.57,UY,scattered clouds
262,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
263,Souillac,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
264,Nabire,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
265,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
266,Hithadhoo,0.5333,72.9333,81.99,74,50,4.52,MV,scattered clouds
267,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
268,Laguna,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
269,Avarua,-21.2078,-159.775,76.05,76,39,10.63,CK,scattered clouds
270,Ouesso,1.6136,16.0517,70.61,98,93,2.77,CG,overcast clouds
271,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
272,Busselton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
273,Busselton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
274,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
275,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
276,Georgetown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
277,Kaitangata,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
278,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
279,Atuona,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
280,Avarua,-21.2078,-159.775,76.05,76,39,10.63,CK,scattered clouds
281,Albany,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
282,Geraldton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
283,Saint-Philippe,-21.3585,55.7679,69.35,80,44,13.87,RE,scattered clouds
284,Padang,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
285,Mahebourg,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
286,Saint-Philippe,-21.3585,55.7679,69.35,80,44,13.87,RE,scattered clouds
287,Ancud,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
288,Laguna,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
289,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
290,Innisfail,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
291,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
292,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
293,Cidreira,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
294,Busselton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
295,Punta Arenas,29.4241,-98.4936,87.1,59,2,8.39,US,clear sky
296,Bengkulu,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
297,Walvis Bay,-26.6481,15.1594,54.75,90,49,13.62,NA,scattered clouds
298,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
299,Waingapu,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
300,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
301,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
302,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
303,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
304,Jamestown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
305,Port Elizabeth,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
306,Puerto Ayora,-0.7393,-90.3518,70.47,89,81,8.32,EC,broken clouds
307,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
308,Esperance,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
309,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
310,New Norfolk,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
311,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
312,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
313,Bambous Virieux,-20.5167,57.5167,72.36,78,18,15.08,MU,few clouds
314,Bluff,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
315,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
316,New Norfolk,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
317,Te Anau,-46.6,168.3333,51.8,58,91,22.39,NZ,overcast clouds
318,Busselton,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
319,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
320,Carnarvon,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
321,Mayumba,-3.432,10.6554,75.36,86,99,7.56,GA,overcast clouds
322,Hobart,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
323,Auki,-10.4544,161.9205,82.06,77,72,8.41,SB,broken clouds
324,Mendahara,1.7427,98.7792,74.88,95,100,2.77,ID,moderate rain
325,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
326,Georgetown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
327,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
328,Comodoro Rivadavia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
329,Boa Viagem,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
330,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
331,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
332,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
333,Georgetown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
334,Hithadhoo,0.5333,72.9333,81.99,74,50,4.52,MV,scattered clouds
335,Ushuaia,-54.8,-68.3,40.66,75,75,21.85,AR,broken clouds
336,Port Hedland,-42.8794,147.3294,53.26,78,75,8.05,AU,broken clouds
337,Mataura,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
338,Breves,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
339,Georgetown,42.097,-79.2353,55.71,83,0,3.31,US,clear sky
340,Arraial Do Cabo,-22.9661,-42.0278,69.89,93,14,10.94,BR,few clouds
341,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
342,Cape Town,-33.0117,17.9442,57.02,78,88,14.58,ZA,overcast clouds
343,Rikitea,-23.1203,-134.9692,73.42,69,100,17.25,PF,overcast clouds
