City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
889,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
890,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
894,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
895,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
898,Grand River South East,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
901,Bima,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
903,Coquimbo,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
906,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
909,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
914,Quatre Cocos,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
915,Eirunepe,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
916,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
919,Gizo,SB,82.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
920,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
921,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
922,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
923,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
924,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
925,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
926,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
928,Meulaboh,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
929,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
930,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
931,Porto Belo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
934,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
938,Mahebourg,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
939,Bengkalis,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
940,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
941,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
943,Souillac,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
